Index,Name,Classification,dD,dP,dH,BP,LD50,CAS,Desc,Img_URL,SDS_Page,Img_URL_alt,Toxicity_Ref
,Heptane,"Alcohol, Ketones, & Water",15.3,0,0,98,2000,142-82-5,"Heptane is the straight-chain alkane with the chemical formula H3C(CH2)5CH3 or C7H16, and is one of the main components of gasoline (petrol)",https://upload.wikimedia.org/wikipedia/commons/1/15/HeptaneFull.png,https://pubchem.ncbi.nlm.nih.gov/compound/Heptane,,
,Indane,NH & Aromatic,19,3,2.9,176.5,5000,0496-11-7,Indane is an ortho-fused bicyclic hydrocarbon consisting of a benzene ring fused to a cyclopentane ring; a high-boiling (176 (o)C) colourless liquid. It is a member of indanes and an ortho-fused bicyclic hydrocarbon.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Indane_structure.svg/1200px-Indane_structure.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/10326,,
,Isobutylamine,NH & NA,15.5,4.4,6.9,63,224,78-81-9,"Isobutylamine is an organic chemical compound (specifically, an amine) with the formula (CH3)2CHCH2NH2, and occurs as a colorless liquid. Isobutylamine is one of the four isomeric amines of butane, the others being n-butylamine, sec-butylamine and tert-butylamine.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Isobutylamine.svg/1200px-Isobutylamine.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/Isobutylamine,,
,Jasminone,Terpene,17.5,5.5,3.1,175,5000,51608-18-5,"Also known as 2-(trans-2-Pentenyl)cyclopentanone, it is a cyclic ketone. with Lactonic, peach, creamy coconut with apricot and coumarin undertones. Smooth and creamy notes to enrich floral, fruity, and tropical types for personal care and fine fragrances.",http://www.chemspider.com/ImagesHandler.ashx?id=4941595&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Jasminone,,
,L-Menthone,Terpene,16.9,5,2.4,207,2180,14073-97-3,"Menthone is a monoterpene with a minty flavor that occurs naturally in a number of essential oils. Menthone is a natural product found in Xylopia aromatica, Hedeoma multiflora, and other organisms ",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%28%2B%29-Menthone_structure.svg/1200px-%28%2B%29-Menthone_structure.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/Menthone,,
,Laevo-Fenchone,Terpene,17.4,5.2,2.1,193,616,7787-20-4,L-fenchone is a constituent of the essential oils obtained from fennel. It has a role as a plant metabolite. It has camphor herbal earthy woody scent,https://upload.wikimedia.org/wikipedia/commons/d/d6/Fenchone.png,https://pubchem.ncbi.nlm.nih.gov/compound/L-Fenchone,,
,Laevo-Rose-Oxide,Terpene,16.7,3,3.4,182,4300,3033-23-6,"Rose oxide is a fragrance chemical found in roses and rose oil. It also contributes to the flavor of some fruits, such as lychee, and wines, such as Gewürztraminer.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Rosenoxide.svg/640px-Rosenoxide.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/27866,,
,Leaf Acetal,Terpene,16.9,3.7,3.7,195,5000,7493-57-4,"Leaf acetal has been found in Guava and Plum. It  is used as natural green top notes in floral fragrances insluding shampoos, soaps and detergents as well as in mossy or citrus perfumes and fruity flavors with reminiscence of tropical fruits.",https://www.chemsrc.com/caspic/196/18287-01-9.png,https://pubchem.ncbi.nlm.nih.gov/compound/Acetaldehyde-ethyl-cis-3-hexenyl-acetal,,
,Linalool,Terpene,16.5,2,9.1,202.4,2790,78-70-6,"Linalool occurs both free and in the form of esters in many essential oils and is used in perfumes, soaps, and flavoring materials as it has a spicy herbal odor. ",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Linalool.png/1200px-Linalool.png,https://pubchem.ncbi.nlm.nih.gov/compound/6549,,
,Linalyl acetate,Terpene,16,2.8,5.5,220,13360,115-95-7,"Linalyl acetate is a naturally occurring phytochemical found in many flowers and spice plants. It is one of the principal components of the essential oils of bergamot and lavender. Chemically, it is the acetate ester of linalool, and the two often occur in conjunction.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Linalyl_acetate.svg/1200px-Linalyl_acetate.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/8294,,
,m-Methylstyrene,NH & Aromatic,17.9,2.2,2.6,169.7,4900,100-80-1,3-Methylstyreneis used as pharmaceutical intermediate,https://comptox.epa.gov/dashboard-api/ccdapp1/chemical-files/image/by-dtxcid/DTXCID201436,https://pubchem.ncbi.nlm.nih.gov/compound/3-Methylstyrene,,
,m-Xylene,NH & Aromatic,18,2.3,2.3,144.5,3523,108-38-3 ,"It is one of the three isomers of dimethylbenzene known collectively as xylenes. The m- stands for meta-, indicating that the two methyl groups in m-xylene occupy positions 1 and 3 on a benzene ring.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Meta-Xylol_-_meta-xylene_2.svg/640px-Meta-Xylol_-_meta-xylene_2.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/m-Xylene,,https://fscimage.fishersci.com/msds/95260.htm
,Mesitylene,NH & Aromatic,18,0.6,0.6,165,7000,108-67-8,"Mesitylene is a colorless liquid with sweet aromatic odor. It is a component of coal tar, which is its traditional source. It  is natural product found in Lepidium meyenii and Ferulago nodosa ",https://www.sigmaaldrich.com/deepweb/content/dam/sigma-aldrich/structure6/109/mfcd00008538.eps/_jcr_content/renditions/mfcd00008538-large.png,https://pubchem.ncbi.nlm.nih.gov/compound/Mesitylene,,
,,,,,,,,,,,,,
,Methanesulfonic Acid,NH & NA,18.7,21,24.7,167,,75-75-2,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Structural_formula_of_methanesulfonic_acid.svg/1200px-Structural_formula_of_methanesulfonic_acid.svg.png,,,
,Methanol,"Alcohol, Ketones, & Water",14.7,12.3,22.3,65,1187,67-56-1,"Methanol is a toxic alcohol that is used industrially as a solvent, pesticide, and alternative fuel source. It also occurs naturally in humans, animals, and plants.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Methanol_Lewis.svg/1200px-Methanol_Lewis.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/Methanol,,
,Methyl Butyl Sulfide,NH & NA,16.7,3.3,3.1,124.2,,628-29-5,,https://www.sigmaaldrich.com/deepweb/content/dam/sigma-aldrich/structure3/126/mfcd00015256.eps/_jcr_content/renditions/mfcd00015256-medium.png,,,
,Methyl Pentyl Sulfide,NH & NA,16.7,3.1,3.2,145,,1741-83-9,,http://www.stenutz.eu/chem/mol2svg.php?id=21189&w=6&h=6,,,
,Methyl Phenyl Sulfide,NH & Aromatic,19.6,4.8,4.7,195,,,,https://www.sigmaaldrich.com/deepweb/content/dam/sigma-aldrich/product5/199/820825_methyl_phenyl_sulfide_820825_methyl_phenyl_sulfide_all.jpg/_jcr_content/renditions/820825_methyl_phenyl_sulfide_820825_methyl_phenyl_sulfide_all-medium.jpg,,,
,Methyl Propyl Sulfide,NH & NA,16.7,3.5,3.3,97,535,3877-15-4,,https://assets.fishersci.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-3877-15-4.jpg-650.jpg,,,
,Methylene Diiodide (Diiodomethane),Halogenated,22,3.9,5.5,181,,75-11-6,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Structural_formula_of_diiodomethane.svg/1200px-Structural_formula_of_diiodomethane.svg.png,,,
,Myrcene,Terpene,16,2.2,5.1,167,5000,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Myrcene_beta_acsv.svg/1200px-Myrcene_beta_acsv.svg.png,,,
,n-Butyl Acetate,NH & NA,15.8,3.7,6.3,126,3200,123-86-4,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Butylacetat.svg/1200px-Butylacetat.svg.png,,,
,n-Butyl Amine,NH & NA,16.2,4.5,8,77,,109-73-9,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/N-butyl_amine-Structural_Formula_V.1.svg/1280px-N-butyl_amine-Structural_Formula_V.1.svg.png,,,
,n-Methyl-2-Pyrrolidone (Nmp),NH & NA,18,12.3,7.2,202,,872-50-4,,https://upload.wikimedia.org/wikipedia/commons/f/f1/N-Methylpyrrolidone_Structural_Formulae.png,,,
,Nerol,Terpene,16.7,4.5,11.3,226,4500,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Nerol_structure.svg/1200px-Nerol_structure.svg.png,,,
,Nerolidol,Terpene,16.4,2.7,8.7,122,5000,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Nerolidol_-_cis.png,,,
,o-Methylanisole,NH & Aromatic,18.3,4.7,4.8,170,5000,578-58-5,"2-methylanisole is a monomethoxybenzene that is o-cresol in which phenolic hydroxy group has been converted to the corresponding methyl ether. A 'green' solvent (b.p. 171 ℃) and food flavour ingredient, it is found in mastic oils, virgin olive oils and frankincense.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/2-methylanisole.svg/220px-2-methylanisole.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/2-Methylanisole,,
,O-Xylene,NH & Aromatic,17.8,1,3.1,144.5,3680,106-42-3,O-xylene appears as a colorless watery liquid with a sweet odor. It is the most commonly used 'green solvent' for OPV. ,https://i0.wp.com/www.differencebetween.com/wp-content/uploads/2020/03/Difference-Between-O-Xylene-and-P-Xylene_1.png,https://pubchem.ncbi.nlm.nih.gov/compound/O-Xylene,,
,Ocimene,Terpene,17.4,1.7,3.3,100,5600,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/%28Z%29-beta-Ocimene.svg,,,
,Octane,"Alcohol, Ketones, & Water",15.5,0,0,125.6,5000,111-65-9,,https://d777cy4k381n2.cloudfront.net/media/catalog/product/cache/d2e1422d45fc8c2430184578d7e3ae1b/m/o/molecular_structure_PROD0016769.png,,,
,Oleic Acid,NH & NA,16,2.8,6.2,360,,112-80-1,,https://file.medchemexpress.com/product_pic/hy-n1446.gif,,,
,p-Anisaldehyde,NH & NA,19.1,10,7.4,248,,0123-11-5,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Anisaldehyde-2D-structure.svg/1200px-Anisaldehyde-2D-structure.svg.png,,,
,p-Cymene,NH & NA,17.4,2.3,2.4,177,4750,99-87-6,,https://www.eptes.com/wp-content/uploads/2018/08/P-Cymene.jpg,,,
,p-Methylstyrene,NH & Aromatic,18,2.9,3.6,172.5,,622-97-9,,https://assets.fishersci.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-622-97-9.jpg-650.jpg,,,
,p-Xylene,NH & Aromatic,17.8,1,3.1,144.5,,,,https://www.tcichemicals.com/medias/X0014.jpg?context=bWFzdGVyfHJvb3R8MzU2NzV8aW1hZ2UvanBlZ3xoMGMvaDFmLzg5MjgxMTAzNzkwMzgvWDAwMTQuanBnfDc2Y2Y2OTc5MzA5NGFkZTYzMmNiNWE4Yjc4OWRlMjIwYWQ4OTVjYWJjNzNlODdjNDc1N2MzOTUwMTU0MGViM2E,,,
,Pentafluorostyrene,NH & NA,16.2,2.7,3.3,139,,653-34-9,,https://www.polymersource.ca/image/cache/data/category_structure/B-1-10-13_5FS-680x600.png,,,
,Pentylamine,NH & NA,15.9,4.2,7.6,106.5,,110-58-7,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Pentylamine_Structural_Formula_V.1.svg/1200px-Pentylamine_Structural_Formula_V.1.svg.png,,,
,Pentylcyclopentane,NH & NA,16.1,0.1,0.1,182,,,,https://www.molport.com/shop/molecule-image?id=6115662&width=350&height=350&quality=50,,,
,Perillaldehyde,Terpene,17.1,6.9,5.9,237,1720,18031-40-8,"Perillaldehyde is a natural organic compound found most abundantly in the annual herb perilla, but also in a wide variety of other plants and essential oils. It is used as food additives for flavoring and in perfumery to add spiciness",https://www.eptes.com/wp-content/uploads/2018/08/Perillaldehyde.jpg,https://pubchem.ncbi.nlm.nih.gov/compound/Perillaldehyde,,
,Phellandrene,Terpene,16.5,1.6,3.9,171,5700,99-83-2.," It has a role as a volatile oil component, a plant metabolite and an antimicrobial agent. ",https://eybna.com/wp-content/uploads/2019/08/a-phellandrene-1.png,https://pubchem.ncbi.nlm.nih.gov/compound/alpha-Phellandrene,,
,Phenetole (Ethyl Phenyl Ether),NH & Aromatic,18.4,4.5,4,168,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ethyl_phenyl_ether.png/800px-Ethyl_phenyl_ether.png,,,
,Pinol,Terpene,16.5,2.4,3.1,192,438,2437-97-0 ,,https://www.chemicalbook.com/CAS2/GIF/60761-04-8.gif,,,
,Piperitone,Terpene,17,6.2,4.5,233,2450,,,https://upload.wikimedia.org/wikipedia/commons/7/78/Piperitone.png,,,
,Poly(Ethylene Glycol),"Alcohol, Ketones, & Water",16.3,3.7,7.6,150,,25322-68-3,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/PEG_Structural_Formula_V1.svg/1200px-PEG_Structural_Formula_V1.svg.png,,,
,Propylene Carbonate,"Alcohol, Ketones, & Water",20,18,4.1,242,,108-32-7,,http://structuresearch.merck-chemicals.com/getImage/MDA_CHEM_807051,,,
,Propylene Glycol,"Alcohol, Ketones, & Water",16.8,10.4,21.3,188.2,,57-55-6,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Propylene_glycol_chemical_structure.png,,,
,Pulegone,Terpene,17.5,8.9,5.5,224,1709,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Pulegone_Structural_Formulae.png,,,
,Quinoline,NH & Aromatic,20.5,5.6,5.7,237.3,,91-22-5,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Chinolin.svg/1200px-Chinolin.svg.png,,,
,Sabinene,Terpene,16.6,1.5,1.8,163.6,7060,,,https://www.caymanchem.com/images/catalog/screen/25777.png,,,
,Spicy Pentanone,Terpene,17.3,4.3,3.3,103,3700,5349-62-2,,https://www.tcichemicals.com/medias/P0061.jpg?context=bWFzdGVyfHJvb3R8Mjk4NzN8aW1hZ2UvanBlZ3xoNzUvaDY0Lzg5MjcyODIxMzUwNzAvUDAwNjEuanBnfGJkYzZmNDkwZTE1YzkzZWU1ZDA3ODZkYTY0Mjk2NjVmY2U3ZDk2YWVlNDk4OTIwOWQ5YzFiZjJmODQxZmM0ZDc,,,
,Sylvestrene,Terpene,16.6,3,4.1,175.4,5000,,,http://www.stenutz.eu/chem/mol2svg.php?id=14209&w=6&h=6,,,
,Terpinene,Terpene,17.2,1.8,4.3,183,3650,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Gamma_terpinene.png,,,
,Terpineol,Terpene,17,5.3,10.9,219,4300,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Terpineol_alpha.svg/1200px-Terpineol_alpha.svg.png,,,
,Terpinolene,Terpene,17.2,1.9,4.1,186,4390,,,https://www.caymanchem.com/images/catalog/screen/21712.png,,,
,Tetrahydrofuran (THF),NH & NA,16.8,5.7,8,66,,109-99-9,,https://www.acs.org/content/dam/acsorg/molecule/archive-new/t/tetrahydrofuran-teaser.png,,,
,Tetrahydronaphthalene (Tetralin),NH & Aromatic,19.6,2,2.9,208,,119-64-2,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Tetralin.svg/1200px-Tetralin.svg.png,,,
,Toluene,NH & Aromatic,18,1.4,2,111,,108-88-3,,https://www.tcichemicals.com/medias/T0260.jpg?context=bWFzdGVyfHJvb3R8Mzc5OTR8aW1hZ2UvanBlZ3xoOGUvaDQ3Lzg5Mjc3MTIxODIzMDIvVDAyNjAuanBnfGQ5NmZmNDQwNzg2ZmE1OGM3NzNlNTRmZjM5MjFkZTBjMWFjNjY2Yjc0ZDJjMzhkMjE2MjA1MjVmNmI2ZDQ0NGE,,,
,Trimethylbenzene,NH & Aromatic,18,1,1,169,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Mesitylen.svg/1200px-Mesitylen.svg.png,,,
,Umbellulone,Terpene,17.7,6.6,4.1,220,1450,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Umbellulone.svg/1200px-Umbellulone.svg.png,,,
,Water,"Alcohol, Ketones, & Water",15.5,16,42.3,100,90000,7732-18-5,The ideal green solvent.,https://useruploads.socratic.org/Av5galnwSZCm71nHdUx0_770px-Water-2D-flat.png,https://pubchem.ncbi.nlm.nih.gov/compound/962,,
,Zingiberene,Terpene,16.6,1.4,4.1,135,2000,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Zingiberene.png,,,
,β-Pinene,Terpene,16.2,1,1.8,160,4700,127-91-3,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Beta-pinen.svg/1200px-Beta-pinen.svg.png,,,
,γ-Butyrolactone (GBL),NH & NA,18,16.6,7.4,204,,96-48-0,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Gamma-Butyrolactone.svg/1200px-Gamma-Butyrolactone.svg.png,,,
,γ-Valerolactone,NH & NA,16.8,11.4,6.7,195.9,,108-29-2,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Gamma-valerolactone.png,,,
,Vanillin,Terpene,19.3,11.1,13.9,285,3978,121-33-5,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ortho-Vanillin.svg/1200px-Ortho-Vanillin.svg.png,,,
